1,John Krasinski,13 Hours,Action,
2,Bruce Willis,16 Blocks,Action,
3,David Wenham,300 Part 1,Action,
4,David Wenham,300 Part 2,Action,
5,Liam Neeson,A Team,Action,
6,Roger Moore,A view to a kill,Action,
7,Tyler Perry,Alex Cross,Action,
8,Mel Gibson,Apocalypto,Action,
9,Bruce Willis,Armageddon,Action,
10,Sylvester Stallone,Assassins,Action,
11,Robert Downey Jr,Avengers,Action,
12,Robert Downey Jr,Avengers Age of Ultron,Action,
13,Martin Lawrence,Bad boys,Action,
14,Martin Lawrence,Bad boys 2,Action,
15,Johnny Strong,Bad cop,Action,
16,Christian Bale,Batman begins,Action,
17,Christian Bale,Batman dark knight,Action,
18,Christian Bale,Batman dark knight rises,Action,
19,Ben Affleck,Batman versus Superman,Action,
20,Taylor Kitsch,Battleship,Action,
21,Chadwick Boseman,Black Panther,Action,
22,Ewan McGregor,Blackhawk down,Action,
23,Matt Daymon,Bourne identity,Action,
24,Jeremy Renner,Bourne legacy,Action,
25,Matt Daymon,Bourne supremacy,Action,
26,Matt Daymon,Bourne ultimatum,Action,
27,Matt Daymon,Bourne Jason,Action,
28,Chris Evans,Captain America: Avenger,Action,
29,Chris Evans,Captain America: Civil War,Action,
30,Chris Evans,Captain America: Winter soldier,Action,
31,Daniel Craig,Casino royale,Action,
32,Bruce Lee,Chinese connection / Big Boss,Action,
33,Sylvester Stallone,Cliffhanger,Action,
34,Sylvester Stallone,Cobra,Action,
35,Zoe Saldana,Colombiana,Action,
36,Nicolas Cage,Con air,Action,
37,Clint Eastwood,Dead pool,Action,
38,Charles Bronson,Death Wish,Action,
39,Sylvester Stallone,Demolition man,Action,
40,Sean Connery,Diamonds are forever,Action,
41,Pierce Brosnan,Die another day,Action,
42,Bruce Willis,Die Hard 1,Action,
43,Bruce Willis,Die Hard 2,Action,
44,Bruce Willis,Die Hard 3,Action,
45,Bruce Willis,Die Hard 4,Action,
46,Bruce Willis,Die Hard 5,Action,
47,Clint Eastwood,Dirty Harry,Action,
48,Benedict Cumberbatch,Doctor Strange,Action,
49,Sean Connery,Dr No,Action,
50,Channing Tatum,Eagle,Action,
51,Clint Eastwood,Enforcer,Action,
52,Bruce Lee,Enter the dragon,Action,
53,Denzel Washington,Equalizer,Action,
54,Sylvester Stallone,Expendables 1,Action,
55,Sylvester Stallone,Expendables 2,Action,
56,Sylvester Stallone,Expendables 3,Action,
57,Jessica Alba,Fantastic 4 no 1,Action,
58,Jessica Alba,Fantastic 4 no 2,Action,
59,Vin Diesel,Fast and Furious 1,Action,
60,Paul Walker,Fast and Furious 2,Action,
61,Lucas Black,Fast and Furious 3,Action,
62,Vin Diesel,Fast and Furious 4,Action,
63,Vin Diesel,Fast and Furious 5,Action,
64,Vin Diesel,Fast and Furious 6,Action,
65,Vin Diesel,Fast and Furious 7,Action,
66,Vin Diesel,Fast and Furious 8,Action,
67,Clint Eastwood,Firefox,Action,
68,Chuck Norris,Firewalker,Action,
69,Sylvester Stallone,First Blood 1,Action,
70,Sylvester Stallone,First Blood 4: Rambo,Action,
71,Bruce Lee,Fists of fury,Action,
72,Roger Moore,For your eyes only,Action,
73,Chuck Norris,Force of one,Action,
74,Sean Connery,From Russia with love,Action,
75,Matthew Modine,Full metal jacket,Action,
76,Bruce Lee,Game of death,Action,
77,Josh Brolin,Gangster squad,Action,
78,Clint Eastwood,Gauntlet,Action,
79,Baldwin & Bassinger,Getaway,Action,
80,Christopher Eccleston,GI Joe - Retaliation,Action,
81,Christopher Eccleston,GI Joe - Rise of the Cobra,Action,
82,Russell Crowe,Gladiator,Action,
83,Pierce Brosnan,Golden eye,Action,
84,Sean Connery,Goldfinger,Action,
85,Chuck Norris,Good guys wear black,Action,
86,Ryan Reynolds,Green lantern,Action,
87,Chris Pratt,Guardians of the Galaxy,Action,
88,Steven Seagal,Hard to kill,Action,
89,Clint Eastwood,Heartbreak Ridge,Action,
90,Robert de Niro,Heat,Action,
91,Timothy Olyphant,Hitman,Action,
92,Jason Statham,Homefront,Action,
93,Edward Norton,Hulk,Action,
94,Jeremy Renner,Hurt locker,Action,
95,Clint Eastwood,In the line of fire,Action,
96,Russell Crowe,Iron Fist,Action,
97,Robert Downey Jr,Iron man 1,Action,
98,Robert Downey Jr,Iron man 2,Action,
99,Robert Downey Jr,Iron man 3,Action,
100,Mark Wahlberg,Italian job,Action,
101,Clint Eastwood,Iwoa,Action,
102,Tom Cruise,Jack Reacher,Action,
103,Tom Cruise,Jack Reacher 2,Action,
104,Keanu Reeves,John Wick 1,Action,
105,Keanu Reeves,John Wick 2,Action,
106,Uma Thurman,Kill Bill 1,Action,
107,Uma Thurman,Kill Bill 2,Action,
108,Jasom Statham,Killer elite,Action,
109,Charles Bronson,Kinjite,Action,
110,Jet Li,Kiss the dragon,Action,
111,Bruce Willis,Last boyscout,Action,
112,Mel Gibson,Lethal Weapon 1,Action,
113,Mel Gibson,Lethal Weapon 2,Action,
114,Mel Gibson,Lethal Weapon 3,Action,
115,Mel Gibson,Lethal Weapon 4,Action,
116,Timothy Dalton,Licence to kill,Action,
117,Roger Moore,Live and let die,Action,
118,Timothy Dalton,Living daylights,Action,
119,Mark Wahlberg,Lone survivor,Action,
120,Mel Gibson,Mad Max 1,Action,
121,Mel Gibson,Mad Max 2,Action,
122,Mel Gibson,Mad Max 3,Action,
123,Charlize Theron,Mad Max 4,Action,
124,Clint Eastwood,Magnum force,Action,
125,TBC,Man from UNCLE,Action,
126,Roger Moore,Man with the golden gun,Action,
127,Jason Statham,Mechanic,Action,
128,Charles Bronson,Messenger from Death,Action,
129,Colin Farrell,Miami Vice,Action,
130,Tom Cruise,Mission impossible 1,Action,
131,Tom Cruise,Mission impossible 2,Action,
132,Tom Cruise,Mission impossible 3,Action,
133,Tom Cruise,Mission impossible 4,Action,
134,Tom Cruise,Mission impossible 5,Action,
135,Roger Moore,Moonraker,Action,
136,Brad Pitt,Mr & Mrs Smith,Action,
137,Steven Seagal,Nico,Action,
138,Chuck Norris,Octagon,Action,
139,Roger Moore,Octopussy,Action,
140,Gerard Butler,Olympus has fallen,Action,
141,George Lazenby,On her Majestys secret service,Action,
142,Antonio Banderas,Once upon a time in Mexico,Action,
143,Charlie Hunnam,Pacific Rim,Action,
144,Jason Statham,Parker,Action,
145,Tom Berenger,Platoon,Action,
146,Gilles Lelouche,Point Blank,Action,
147,Keanu Reeves,Point break,Action,
148,Paul Bettany,Priest,Action,
149,Johnny Depp,Public enemy,Action,
150,Craig Daniel,Quantum of solace,Action,
151,Arnold Schwarzenegger,Raw deal,Action,
152,Hugh Jackman,Real Steel,Action,
153,Arnold Schwarzenegger,Red heat,Action,
154,Jason Statham,Redemption,Action,
155,Robert de Niro,Righteous kill,Action,
156,Gerard Butler,Rock n Rolla,Action,
157,Robert de Niro,Ronin,Action,
158,Clint Eastwood,Rookie,Action,
159,Angelina Jolie,Salt,Action,
160,Tom Hanks,Saving Private Ryan,Action,
161,Robert Downey Jr,Sherlock Holmes 1,Action,
162,Robert Downey Jr,Sherlock Holmes 2,Action,
163,Craig Daniel,Skyfall,Action,
164,Sylvester Stallone,Specialist,Action,
165,Craig Daniel,Spectre,Action,
166,Keanu Reeves,Speed,Action,
167,Tobey Maguire,Spiderman 1,Action,
168,Tobey Maguire,Spiderman 2,Action,
169,Tobey Maguire,Spiderman 3,Action,
170,Andrew Garfield,Spiderman Amazing 1,Action,
171,Andrew Garfield,Spiderman Amazing 2,Action,
172,Tom Holland,Spiderman Homecoming,Action,
173,Roger Moore,Spy who loved me,Action,
174,Clint Eastwood,Sudden Impact,Action,
175,Margot Robbie,Suicide Squad,Action,
176,Christopher Reeves,Superman,Action,
177,Henry Cavill,Superman: Man of steel,Action,
178,Colin Farrell,SWAT,Action,
179,Ray Winstone,Sweeney,Action,
180,Bruce Willis,Tears of the sun,Action,
181,Chris Hemsworth,Thor 1,Action,
182,Chris Hemsworth,Thor 2,Action,
183,Sean Connery,Thunderball,Action,
184,Clint Eastwood,Thunderbolt and Lightfoot,Action,
185,Clint Eastwood,Tightrope,Action,
186,Pierce Brosnan,Tomorrow never dies,Action,
187,Martin Balsam,Tora tora tora,Action,
188,Johnny Depp,Tourist,Action,
189,Ben Affleck,Town,Action,
190,Shia LaBeouf,Transformers 1,Action,
191,Shia LaBeouf,Transformers 2,Action,
192,Shia LaBeouf,Transformers 3,Action,
193,Steven Seagal,Under Siege 1,Action,
194,Steven Seagal,Under Siege 2,Action,
195,Robert de Niro,Untouchables,Action,
196,Bruce Lee,Way of the dragon,Action,
197,Mel Gibson,We were soldiers,Action,
198,Clint Eastwood,Where eagles dare,Action,
199,Channing Tatum,White house down,Action,
200,Nicolas Cage,Windtalkers,Action,
201,Gal Galdot,Wonder woman,Action,
202,Pierce Brosnan,World is not enough,Action,
203,Vin Diesel,XXX,Action,
204,Sean Connery,You only live twice,Action,
205,Steven Strait,10 000 BC,Adventure,
206,Anotio Banderas,13th Warrior,Adventure,
207,Michael Fassbender,Centurion,Adventure,
208,Arnold Schwarzenegger,Conan the barbarian,Adventure,
209,Nick Nolte,Deep,Adventure,
210,Lee Marvin,Dirty dozen,Adventure,
211,Clint Eastwood,Eiger sanction,Adventure,
212,Sean Connery,First knight,Adventure,
213,Kate Blanchett,Hanna,Adventure,
214,Harrison Ford,Indiana Jones 1,Adventure,
215,Harrison Ford,Indiana Jones 2,Adventure,
216,Harrison Ford,Indiana Jones 3,Adventure,
217,Harrison Ford,Indiana Jones 4,Adventure,
218,Paul Walker,Into the blue,Adventure,
219,Jaden Smith,Karate kid,Adventure,
